Serial Number,Time,Temperature,Molar Ratio,H2SO4 Volume,PLQY,FWHM,PLQY_percent
1,10.0,150.0,400.0,3.0,0.2183,62,21.83
2,10.0,150.0,400.0,4.0,0.2319,64,23.189999999999998
3,10.0,150.0,600.0,3.0,0.1587,69,15.870000000000001
4,10.0,150.0,600.0,4.0,0.095,74,9.5
5,10.0,170.0,400.0,3.0,0.1091,68,10.91
6,10.0,170.0,400.0,4.0,0.1486,58,14.860000000000001
7,10.0,170.0,600.0,3.0,0.1576,72,15.76
8,10.0,170.0,600.0,4.0,0.1373,85,13.73
9,12.0,150.0,400.0,3.0,0.1444,65,14.44
10,12.0,150.0,400.0,4.0,0.2637,76,26.369999999999997
11,12.0,150.0,600.0,3.0,0.0973,82,9.73
12,12.0,150.0,600.0,4.0,0.1775,87,17.75
13,12.0,170.0,400.0,3.0,0.0944,67,9.44
14,12.0,170.0,400.0,4.0,0.1437,64,14.37
15,12.0,170.0,600.0,3.0,0.166,75,16.6
16,12.0,170.0,600.0,4.0,0.1523,71,15.229999999999999
17,10.91,152.3,396.1,3.75,0.2419,57,24.19
18,9.02,150.3,359.9,3.92,0.1899,58,18.990000000000002
19,8.4,199.5,250.2,1.69,0.1532,64,15.32
20,9.15,196.4,749.3,2.53,0.1718,55,17.18
21,10.68,153.9,350.2,3.97,0.2744,45,27.439999999999998
22,10.41,155.3,436.5,3.84,0.2279,44,22.79
23,10.78,153.2,473.9,3.99,0.2032,53,20.32
24,10.93,151.8,305.1,3.54,0.2163,48,21.63
25,11.78,154.8,346.1,3.77,0.2632,38,26.32
26,10.68,159.1,268.4,3.92,0.2591,52,25.91
27,8.79,155.1,415.1,2.29,0.2123,40,21.23
28,8.29,152.6,466.6,2.69,0.2059,51,20.59
29,9.75,154.1,272.1,1.89,0.3205,29,32.05
30,10.49,155.4,368.1,1.51,0.3663,31,36.63
31,11.84,156.1,325.6,1.82,0.1931,47,19.31
32,11.85,155.9,410.7,1.59,0.1839,48,18.39
33,10.01,153.3,293.9,1.37,0.2385,41,23.849999999999998
34,9.67,155.4,374.5,1.12,0.3358,61,33.58
35,10.04,162.3,476.6,1.02,0.1945,36,19.45
36,8.36,155.7,448.7,1.03,0.2833,36,28.33
