Serial_Number,target,prediction,expected_value_plus_sum_SHAP,absolute_reconstruction_error
1,PLQY,20.784399999999952,20.78439999999996,7.105427357601002e-15
2,PLQY,22.699740000000023,22.699740000000023,0.0
3,PLQY,14.941159999999915,14.941159999999918,3.552713678800501e-15
4,PLQY,12.767939999999976,12.767939999999975,1.7763568394002505e-15
5,PLQY,12.45721999999993,12.457219999999932,1.7763568394002505e-15
6,PLQY,14.808639999999887,14.808639999999887,0.0
7,PLQY,15.408800000000099,15.408800000000099,0.0
8,PLQY,14.126679999999878,14.126679999999874,3.552713678800501e-15
9,PLQY,17.099359999999873,17.099359999999866,7.105427357601002e-15
10,PLQY,22.9971600000001,22.997160000000104,3.552713678800501e-15
11,PLQY,11.9228799999999,11.9228799999999,0.0
12,PLQY,15.571619999999966,15.571619999999964,1.7763568394002505e-15
13,PLQY,10.976659999999935,10.976659999999933,1.7763568394002505e-15
14,PLQY,14.406979999999898,14.4069799999999,1.7763568394002505e-15
15,PLQY,15.266340000000076,15.26634000000008,3.552713678800501e-15
16,PLQY,15.099659999999854,15.099659999999854,0.0
17,PLQY,23.38548000000001,23.385480000000012,3.552713678800501e-15
18,PLQY,21.82317999999989,21.823179999999887,3.552713678800501e-15
19,PLQY,18.12487999999991,18.124879999999916,7.105427357601002e-15
20,PLQY,16.72200000000009,16.72200000000009,0.0
21,PLQY,26.236860000000032,26.236860000000025,7.105427357601002e-15
22,PLQY,22.743440000000113,22.74344000000011,3.552713678800501e-15
23,PLQY,21.12891999999992,21.128919999999916,3.552713678800501e-15
24,PLQY,22.792059999999925,22.79205999999992,3.552713678800501e-15
25,PLQY,25.14409999999989,25.144099999999888,3.552713678800501e-15
26,PLQY,25.359819999999896,25.359819999999896,0.0
27,PLQY,21.984059999999843,21.984059999999847,3.552713678800501e-15
28,PLQY,21.021020000000018,21.021020000000018,0.0
29,PLQY,28.910859999999815,28.91085999999982,3.552713678800501e-15
30,PLQY,32.452279999999774,32.452279999999774,0.0
31,PLQY,21.83603999999998,21.836039999999983,3.552713678800501e-15
32,PLQY,21.130179999999978,21.13017999999998,3.552713678800501e-15
33,PLQY,26.804300000000087,26.80430000000009,3.552713678800501e-15
34,PLQY,32.284579999999906,32.28457999999992,1.4210854715202004e-14
35,PLQY,21.806740000000037,21.806740000000033,3.552713678800501e-15
36,PLQY,26.45605999999997,26.45605999999997,0.0
