Serial_Number,Time,Temperature,Molar Ratio,H2SO4 Volume,PLQY_percent,FWHM_nm,AL_cycle
1,10.0,150.0,400.0,3.0,21.83,62,0
2,10.0,150.0,400.0,4.0,23.19,64,0
3,10.0,150.0,600.0,3.0,15.87,69,0
4,10.0,150.0,600.0,4.0,9.5,74,0
5,10.0,170.0,400.0,3.0,10.91,68,0
6,10.0,170.0,400.0,4.0,14.86,58,0
7,10.0,170.0,600.0,3.0,15.76,72,0
8,10.0,170.0,600.0,4.0,13.73,85,0
9,12.0,150.0,400.0,3.0,14.44,65,0
10,12.0,150.0,400.0,4.0,26.37,76,0
11,12.0,150.0,600.0,3.0,9.73,82,0
12,12.0,150.0,600.0,4.0,17.75,87,0
13,12.0,170.0,400.0,3.0,9.44,67,0
14,12.0,170.0,400.0,4.0,14.37,64,0
15,12.0,170.0,600.0,3.0,16.6,75,0
16,12.0,170.0,600.0,4.0,15.23,71,0
17,10.91,152.3,396.1,3.75,24.19,57,1
18,9.02,150.3,359.9,3.92,18.99,58,1
19,8.4,199.5,250.2,1.69,15.32,64,1
20,9.15,196.4,749.3,2.53,17.18,55,1
21,10.68,153.9,350.2,3.97,27.44,45,2
22,10.41,155.3,436.5,3.84,22.79,44,2
23,10.78,153.2,473.9,3.99,20.32,53,2
24,10.93,151.8,305.1,3.54,21.63,48,2
25,11.78,154.8,346.1,3.77,26.32,38,3
26,10.68,159.1,268.4,3.92,25.91,52,3
27,8.79,155.1,415.1,2.29,21.23,40,3
28,8.29,152.6,466.6,2.69,20.59,51,3
29,9.75,154.1,272.1,1.89,32.05,29,4
30,10.49,155.4,368.1,1.51,36.63,31,4
31,11.84,156.1,325.6,1.82,19.31,47,4
32,11.85,155.9,410.7,1.59,18.39,48,4
33,10.01,153.3,293.9,1.37,23.85,41,5
34,9.67,155.4,374.5,1.12,33.58,61,5
35,10.04,162.3,476.6,1.02,19.45,36,5
36,8.36,155.7,448.7,1.03,28.33,36,5
